rxQueue[0], \r; 0xd,
rxQueue[1], \n; 0xa,
rxQueue[2], '+'; 0x2b,
rxQueue[3], 'C'; 0x43,
rxQueue[4], 'G'; 0x47,
rxQueue[5], 'D'; 0x44,
rxQueue[6], 'C'; 0x43,
rxQueue[7], 'O'; 0x4f,
rxQueue[8], 'N'; 0x4e,
rxQueue[9], 'T'; 0x54,
rxQueue[10], ':'; 0x3a,
rxQueue[11], ' '; 0x20,
rxQueue[12], '1'; 0x31,
rxQueue[13], ','; 0x2c,
rxQueue[14], '"'; 0x22,
rxQueue[15], 'I'; 0x49,
rxQueue[16], 'P'; 0x50,
rxQueue[17], '"'; 0x22,
rxQueue[18], ','; 0x2c,
rxQueue[19], '"'; 0x22,
rxQueue[20], 'w'; 0x77,
rxQueue[21], 'w'; 0x77,
rxQueue[22], 'w'; 0x77,
rxQueue[23], '"'; 0x22,
rxQueue[24], ','; 0x2c,
rxQueue[25], '"'; 0x22,
rxQueue[26], '0'; 0x30,
rxQueue[27], '.'; 0x2e,
rxQueue[28], '0'; 0x30,
rxQueue[29], '.'; 0x2e,
rxQueue[30], '0'; 0x30,
rxQueue[31], '.'; 0x2e,
rxQueue[32], '0'; 0x30,
rxQueue[33], '"'; 0x22,
rxQueue[34], ','; 0x2c,
rxQueue[35], '0'; 0x30,
rxQueue[36], ','; 0x2c,
rxQueue[37], '0'; 0x30,
rxQueue[38], \r; 0xd,
rxQueue[39], \n; 0xa,
rxQueue[40], '+'; 0x2b,
rxQueue[41], 'C'; 0x43,
rxQueue[42], 'G'; 0x47,
rxQueue[43], 'D'; 0x44,
rxQueue[44], 'C'; 0x43,
rxQueue[45], 'O'; 0x4f,
rxQueue[46], 'N'; 0x4e,
rxQueue[47], 'T'; 0x54,
rxQueue[48], ':'; 0x3a,
rxQueue[49], ' '; 0x20,
rxQueue[50], '2'; 0x32,
rxQueue[51], ','; 0x2c,
rxQueue[52], '"'; 0x22,
rxQueue[53], 'I'; 0x49,
rxQueue[54], 'P'; 0x50,
rxQueue[55], '"'; 0x22,
rxQueue[56], ','; 0x2c,
rxQueue[57], '"'; 0x22,
rxQueue[58], '"'; 0x22,
rxQueue[59], ','; 0x2c,
rxQueue[60], '"'; 0x22,
rxQueue[61], '0'; 0x30,
rxQueue[62], '.'; 0x2e,
rxQueue[63], '0'; 0x30,
rxQueue[64], '.'; 0x2e,
rxQueue[65], '0'; 0x30,
rxQueue[66], '.'; 0x2e,
rxQueue[67], '0'; 0x30,
rxQueue[68], '"'; 0x22,
rxQueue[69], ','; 0x2c,
rxQueue[70], '0'; 0x30,
rxQueue[71], ','; 0x2c,
rxQueue[72], '0'; 0x30,
rxQueue[73], \r; 0xd,
rxQueue[74], \n; 0xa,
rxQueue[75], '+'; 0x2b,
rxQueue[76], 'C'; 0x43,
rxQueue[77], 'G'; 0x47,
rxQueue[78], 'D'; 0x44,
rxQueue[79], 'C'; 0x43,
rxQueue[80], 'O'; 0x4f,
rxQueue[81], 'N'; 0x4e,
rxQueue[82], 'T'; 0x54,
rxQueue[83], ':'; 0x3a,
rxQueue[84], ' '; 0x20,
rxQueue[85], '3'; 0x33,
rxQueue[86], ','; 0x2c,
rxQueue[87], '"'; 0x22,
rxQueue[88], 'I'; 0x49,
rxQueue[89], 'P'; 0x50,
rxQueue[90], '"'; 0x22,
rxQueue[91], ','; 0x2c,
rxQueue[92], '"'; 0x22,
rxQueue[93], '"'; 0x22,
rxQueue[94], ','; 0x2c,
rxQueue[95], '"'; 0x22,
rxQueue[96], '0'; 0x30,
rxQueue[97], '.'; 0x2e,
rxQueue[98], '0'; 0x30,
rxQueue[99], '.'; 0x2e,
rxQueue[100], '0'; 0x30,
rxQueue[101], '.'; 0x2e,
rxQueue[102], '0'; 0x30,
rxQueue[103], '"'; 0x22,
rxQueue[104], ','; 0x2c,
rxQueue[105], '0'; 0x30,
rxQueue[106], ','; 0x2c,
rxQueue[107], '0'; 0x30,
rxQueue[108], \r; 0xd,
rxQueue[109], \n; 0xa,
rxQueue[110], \r; 0xd,
rxQueue[111], \n; 0xa,
rxQueue[112], 'O'; 0x4f,
rxQueue[113], 'K'; 0x4b,
rxQueue[114], \r; 0xd,
rxQueue[115], \n; 0xa,
rxQueue[116], NUL; 0x0,
